COUNTY,CANDIDATE,VOTES,TOTAL,PCT,RACE,PARTY
ANDERSON,Greg Abbott,5251,5739,91,Governor,Republican
ANDREWS,Greg Abbott,1197,1369,87,Governor,Republican
ANGELINA,Greg Abbott,7847,8447,93,Governor,Republican
ARANSAS,Greg Abbott,2791,3142,89,Governor,Republican
ARCHER,Greg Abbott,1176,1313,90,Governor,Republican
ARMSTRONG,Greg Abbott,486,555,88,Governor,Republican
ATASCOSA,Greg Abbott,1442,1590,91,Governor,Republican
AUSTIN,Greg Abbott,3353,3622,93,Governor,Republican
BAILEY,Greg Abbott,442,470,94,Governor,Republican
BANDERA,Greg Abbott,2517,2828,89,Governor,Republican
BASTROP,Greg Abbott,4065,4711,86,Governor,Republican
BAYLOR,Greg Abbott,502,575,87,Governor,Republican
BEE,Greg Abbott,1237,1296,95,Governor,Republican
BELL,Greg Abbott,12433,13548,92,Governor,Republican
BEXAR,Greg Abbott,57104,62395,92,Governor,Republican
BLANCO,Greg Abbott,1490,1678,89,Governor,Republican
BORDEN,Greg Abbott,201,219,92,Governor,Republican
BOSQUE,Greg Abbott,2296,2544,90,Governor,Republican
BOWIE,Greg Abbott,8166,9005,91,Governor,Republican
BRAZORIA,Greg Abbott,16744,18197,92,Governor,Republican
BRAZOS,Greg Abbott,9615,10658,90,Governor,Republican
BREWSTER,Greg Abbott,430,481,89,Governor,Republican
BRISCOE,Greg Abbott,310,339,91,Governor,Republican
BROOKS,Greg Abbott,0,0,0,Governor,Republican
BROWN,Greg Abbott,5365,5928,91,Governor,Republican
BURLESON,Greg Abbott,1051,1122,94,Governor,Republican
BURNET,Greg Abbott,5239,5914,89,Governor,Republican
CALDWELL,Greg Abbott,1116,1233,91,Governor,Republican
CALHOUN,Greg Abbott,895,999,90,Governor,Republican
CALLAHAN,Greg Abbott,1536,1641,94,Governor,Republican
CAMERON,Greg Abbott,3368,3893,87,Governor,Republican
CAMP,Greg Abbott,936,987,95,Governor,Republican
CARSON,Greg Abbott,915,1012,90,Governor,Republican
CASS,Greg Abbott,3116,3418,91,Governor,Republican
CASTRO,Greg Abbott,563,641,88,Governor,Republican
CHAMBERS,Greg Abbott,3600,3911,92,Governor,Republican
CHEROKEE,Greg Abbott,4885,5220,94,Governor,Republican
CHILDRESS,Greg Abbott,751,844,89,Governor,Republican
CLAY,Greg Abbott,1365,1500,91,Governor,Republican
COCHRAN,Greg Abbott,504,631,80,Governor,Republican
COKE,Greg Abbott,470,515,91,Governor,Republican
COLEMAN,Greg Abbott,1398,1502,93,Governor,Republican
COLLIN,Greg Abbott,40939,44621,92,Governor,Republican
COLLINGSWORTH,Greg Abbott,216,256,84,Governor,Republican
COLORADO,Greg Abbott,2170,2384,91,Governor,Republican
COMAL,Greg Abbott,13323,14458,92,Governor,Republican
COMANCHE,Greg Abbott,1495,1679,89,Governor,Republican
CONCHO,Greg Abbott,338,380,89,Governor,Republican
COOKE,Greg Abbott,4369,4818,91,Governor,Republican
CORYELL,Greg Abbott,3403,3831,89,Governor,Republican
COTTLE,Greg Abbott,147,231,64,Governor,Republican
CRANE,Greg Abbott,555,619,90,Governor,Republican
CROCKETT,Greg Abbott,59,65,91,Governor,Republican
CROSBY,Greg Abbott,251,275,91,Governor,Republican
CULBERSON,Greg Abbott,12,21,57,Governor,Republican
DALLAM,Greg Abbott,377,434,87,Governor,Republican
DALLAS,Greg Abbott,76318,83472,91,Governor,Republican
DAWSON,Greg Abbott,1380,1555,89,Governor,Republican
DEAF SMITH,Greg Abbott,1692,2106,80,Governor,Republican
DELTA,Greg Abbott,806,924,87,Governor,Republican
DENTON,Greg Abbott,34191,37657,91,Governor,Republican
DE WITT,Greg Abbott,1363,1458,93,Governor,Republican
DICKENS,Greg Abbott,466,519,90,Governor,Republican
DIMMIT,Greg Abbott,32,33,97,Governor,Republican
DONLEY,Greg Abbott,706,797,89,Governor,Republican
DUVAL,Greg Abbott,0,0,0,Governor,Republican
EASTLAND,Greg Abbott,2454,2648,93,Governor,Republican
ECTOR,Greg Abbott,7213,7733,93,Governor,Republican
EDWARDS,Greg Abbott,298,324,92,Governor,Republican
ELLIS,Greg Abbott,12351,13462,92,Governor,Republican
EL PASO,Greg Abbott,8359,9783,85,Governor,Republican
ERATH,Greg Abbott,3443,3746,92,Governor,Republican
FALLS,Greg Abbott,958,1031,93,Governor,Republican
FANNIN,Greg Abbott,2257,2504,90,Governor,Republican
FAYETTE,Greg Abbott,3640,4014,91,Governor,Republican
FISHER,Greg Abbott,240,253,95,Governor,Republican
