COUNTY,CANDIDATE,VOTES,TOTAL,PCT,RACE
ANDERSON,John Cornyn,3518,5643,62,Senate
ANDREWS,John Cornyn,761,1308,58,Senate
ANGELINA,John Cornyn,5448,8190,67,Senate
ARANSAS,John Cornyn,1943,3046,64,Senate
ARCHER,John Cornyn,734,1263,58,Senate
ARMSTRONG,John Cornyn,362,534,68,Senate
ATASCOSA,John Cornyn,933,1564,60,Senate
AUSTIN,John Cornyn,1806,3593,50,Senate
BAILEY,John Cornyn,303,464,65,Senate
BANDERA,John Cornyn,1610,2814,57,Senate
BASTROP,John Cornyn,2566,4593,56,Senate
BAYLOR,John Cornyn,353,545,65,Senate
BEE,John Cornyn,860,1262,68,Senate
BELL,John Cornyn,8273,13374,62,Senate
BEXAR,John Cornyn,40993,62864,65,Senate
BLANCO,John Cornyn,980,1644,60,Senate
BORDEN,John Cornyn,116,211,55,Senate
BOSQUE,John Cornyn,1426,2479,58,Senate
BOWIE,John Cornyn,5688,8865,64,Senate
BRAZORIA,John Cornyn,7000,17969,39,Senate
BRAZOS,John Cornyn,6446,10406,62,Senate
BREWSTER,John Cornyn,251,466,54,Senate
BRISCOE,John Cornyn,204,336,61,Senate
BROOKS,John Cornyn,0,0,0,Senate
BROWN,John Cornyn,3537,5695,62,Senate
BURLESON,John Cornyn,625,1102,57,Senate
BURNET,John Cornyn,3917,5895,66,Senate
CALDWELL,John Cornyn,672,1209,56,Senate
CALHOUN,John Cornyn,471,1003,47,Senate
CALLAHAN,John Cornyn,981,1605,61,Senate
CAMERON,John Cornyn,2207,3861,57,Senate
CAMP,John Cornyn,681,965,71,Senate
CARSON,John Cornyn,673,984,68,Senate
CASS,John Cornyn,1923,3297,58,Senate
CASTRO,John Cornyn,400,618,65,Senate
CHAMBERS,John Cornyn,1603,3915,41,Senate
CHEROKEE,John Cornyn,3535,5131,69,Senate
CHILDRESS,John Cornyn,497,797,62,Senate
CLAY,John Cornyn,833,1427,58,Senate
COCHRAN,John Cornyn,283,615,46,Senate
COKE,John Cornyn,300,486,62,Senate
COLEMAN,John Cornyn,932,1430,65,Senate
COLLIN,John Cornyn,26581,43467,61,Senate
COLLINGSWORTH,John Cornyn,174,244,71,Senate
COLORADO,John Cornyn,1218,2333,52,Senate
COMAL,John Cornyn,8229,14312,57,Senate
COMANCHE,John Cornyn,1047,1661,63,Senate
